outcome,r,MSE,p_value
CDRSB,0.6231065235293477,3.24498620264493,1.4715957360860769e-307
ADAS11,0.6389519226711633,35.68293240015534,0.0
ADAS13,0.6614280098729896,69.1092091008796,0.0
ADASQ4,0.6115025796063676,6.19194175963547,3.568155102567648e-293
MMSE,0.5970997595126928,8.477896031194527,3.9326485022774245e-276
RAVLT_immediate,0.5787452317364321,115.48855533922269,1.2481639220337304e-255
RAVLT_learning,0.4583659704870201,6.00795825496939,1.0978973612785187e-148
RAVLT_perc_forgetting,0.4384023400259217,1258.8770034171264,9.513043790437939e-135
