outcome,r,MSE,p_value
CDRSB,0.5930857318557522,3.560448901222643,1.554093754530285e-271
ADAS11,0.6050894421195204,39.48090965691863,1.7731788934787137e-285
ADAS13,0.6280993973161169,76.69783991274524,6.1603986162e-314
ADASQ4,0.5683489394652563,6.940549583342266,1.3859941684134028e-244
MMSE,0.5688495357433689,9.200143935697646,4.158357873571266e-245
RAVLT_immediate,0.5375355580800878,127.93815087053657,4.623438530707759e-214
RAVLT_learning,0.3873358971424945,6.759405078883183,4.291210004088541e-103
RAVLT_perc_forgetting,0.3605419372449916,1430.96502098,1.364817053712588e-88
