outcome,r,MSE,p_value
CDRSB,0.6128844987317933,3.3041724469346314,7.4261824319100725e-295
ADAS11,0.628472759790163,36.341646244622986,2.0321655756e-314
ADAS13,0.6478038641537107,70.94808620492356,0.0
ADASQ4,0.5939275680706307,6.367713524608056,1.7092053420879624e-272
MMSE,0.5866909110429587,8.615143215320062,2.4112683392061136e-264
RAVLT_immediate,0.5684479646927098,117.02820495388103,1.0924648205603599e-244
RAVLT_learning,0.4507016445661493,6.040495723501127,3.1753511534052915e-143
RAVLT_perc_forgetting,0.42992948145387005,1266.9645815231288,4.144138391125343e-129
