region,F_oneway_anova,p
SalVentAttn,89.7238920106816,1.7387322234291047e-55
Limbic,68.2305792606276,1.3062017060173916e-42
SomMot,82.19577954676718,5.2624668607569257e-51
DorsAttn,83.53084966286846,8.39953061816352e-52
Vis,72.96944547686758,1.8002914704210553e-45
Cont,61.61627925951758,1.347227200140992e-38
Default,42.49427812012332,7.340995867349961e-27
