region,F_oneway_anova,p
CDRSB,7.000318062508986,0.00010897253484334203
ADAS11,8.179420194808468,2.023776960501001e-05
ADAS13,9.954248852696535,1.5858352431581304e-06
ADASQ4,7.694022482059113,4.0511604285158756e-05
MMSE,9.296673936062282,4.079316628315515e-06
RAVLT_immediate,21.1587289148522,1.48741280815549e-13
RAVLT_learning,8.991569131442533,6.320573149600009e-06
RAVLT_perc_forgetting,3.616232546061206,0.01268125154356734
